company,industry,headquarters,date_founded,headcount,policy_pub_date,policy_url,policy_path
verizon,,,7-Oct-83,,4/19/2001,http://web.archive.org/web/20020606030746/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,1/30/2004,http://web.archive.org/web/20040504120156/http://www22.verizon.com/Privacy/,
verizon,,,7-Oct-83,,1/23/2003,http://web.archive.org/web/20030622171210/http://www22.verizon.com/Privacy/,
verizon,,,7-Oct-83,,Jul-04,http://web.archive.org/web/20040804170439/http://www22.verizon.com/Privacy/,
verizon,,,7-Oct-83,,Nov-04,http://web.archive.org/web/20041206093315/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,Jan-05,http://web.archive.org/web/20050328092423/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,Jul-05,http://web.archive.org/web/20050831073518/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,Jan-06,http://web.archive.org/web/20060111065008/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,Jun-09,http://web.archive.org/web/20100110214444/http://www22.verizon.com/privacy,
verizon,,,7-Oct-83,,Sep-11,http://web.archive.org/web/20110926204511/http://www22.verizon.com/privacy/,
verizon,,,7-Oct-83,,Nov-13,http://web.archive.org/web/20141008162630/http://www.verizon.com:80/about/privacy/,
verizon,,,7-Oct-83,,Oct-15,http://web.archive.org/web/20151113012413/http://www.verizon.com/about/privacy/,
verizon,,,7-Oct-83,,Jun-15,http://web.archive.org/web/20150906113353/http://www22.verizon.com:80/about/privacy/,
verizon,,,7-Oct-83,,Oct-15,http://web.archive.org/web/20151011174655/http://www.verizon.com:80/about/privacy/,
verizon,,,7-Oct-83,,Dec-15,http://web.archive.org/web/20160409060608/http://www.verizon.com/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,May-16,http://web.archive.org/web/20170602130948/http://www.verizon.com/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,Feb-17,http://web.archive.org/web/20170602130948/http://www.verizon.com/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,Jun-17,http://web.archive.org/web/20170725115642/http://www.verizon.com/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,Jan-18,http://web.archive.org/web/20180317082810/http://www.verizon.com:80/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,Apr-18,http://web.archive.org/web/20180419022215/http://www.verizon.com:80/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,May-18,http://web.archive.org/web/20180521235542/http://www.verizon.com:80/about/privacy/full-privacy-policy,
verizon,,,7-Oct-83,,Jul-18,http://web.archive.org/web/20180826094553/https://www.verizon.com/about/privacy/full-privacy-policy,
twitter,,,21-Mar-06,,5/14/2007,https://twitter.com/en/privacy/previous/version_1,
twitter,,,21-Mar-06,,11/18/2009,https://twitter.com/en/privacy/previous/version_2,
twitter,,,21-Mar-06,,6/8/2010,https://twitter.com/en/privacy/previous/version_3,
twitter,,,21-Mar-06,,11/16/2010,https://twitter.com/en/privacy/previous/version_4,
twitter,,,21-Mar-06,,6/23/2011,https://twitter.com/en/privacy/previous/version_5,
twitter,,,21-Mar-06,,5/17/2012,https://twitter.com/en/privacy/previous/version_6,
twitter,,,21-Mar-06,,7/3/2013,https://twitter.com/en/privacy/previous/version_7,
twitter,,,21-Mar-06,,10/21/2013,https://twitter.com/en/privacy/previous/version_8,
twitter,,,21-Mar-06,,9/8/2014,https://twitter.com/en/privacy/previous/version_9,
twitter,,,21-Mar-06,,5/18/2015,https://twitter.com/en/privacy/previous/version_10,
twitter,,,21-Mar-06,,1/27/2016,https://twitter.com/en/privacy/previous/version_11,
twitter,,,21-Mar-06,,9/30/2016,https://twitter.com/en/privacy/previous/version_12,
twitter,,,21-Mar-06,,6/18/2017,https://twitter.com/en/privacy/previous/version_13,
twitter,,,21-Mar-06,,5/25/2018,https://twitter.com/en/privacy,
,,,,,9/28/2009,https://web.archive.org/web/20091004024914/http://www.fitbit.com/privacy,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
fitbit,,,26-Mar-07,,8/10/2014,https://www.fitbit.com/legal/previous-privacy-policy/08102014,
,,,,,8/9/2016,https://www.fitbit.com/legal/previous-privacy-policy/08092016,
,,,,,10/30/2017,https://www.fitbit.com/legal/previous-privacy-policy/10302017,
,,,,,5/24/2018,https://www.fitbit.com/legal/previous-privacy-policy/05242018,
,,,,,9/18/2018,https://www.fitbit.com/legal/privacy-policy,
